year,stage,home_team,away_team,home_score,away_score,result,total_goals,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_form,away_form,form_diff,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,home_h2h_winrate,away_h2h_winrate,home_wc_exp,away_wc_exp,exp_diff,home_is_host,away_is_host,home_rest_days,away_rest_days
1930,Final,Uruguay,Argentina,4,2,2,6,1500.0,1500.0,0.0,11,1,-10,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,14,18,-4,0,0,14.0,14.0
1930,Matchday 1,USA,Belgium,3,0,2,3,1500.0,1500.0,0.0,13,6,-7,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,11,14,-3,1,0,14.0,14.0
1930,Matchday 1,France,Mexico,4,1,2,5,1500.0,1500.0,0.0,2,15,13,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,16,17,-1,0,1,14.0,14.0
1930,Matchday 10,Argentina,Chile,3,1,2,4,1480.0,1500.0,-20.0,1,60,59,0.0,0.5,-0.5,2.0,4.0,1.2,1.2,0.5,0.5,18,9,9,0,0,0.0,14.0
1930,Matchday 2,Romania,Peru,3,1,2,4,1500.0,1500.0,0.0,60,40,-20,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,7,5,2,0,0,14.0,14.0
1930,Matchday 2,Serbia,Brazil,2,1,2,3,1500.0,1500.0,0.0,60,4,-56,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,12,22,-10,0,0,14.0,14.0
1930,Matchday 3,Argentina,France,1,0,2,1,1501.2,1520.0,-18.8,1,2,1,0.6667,1.0,-0.3333,2.5,2.5,4.0,1.0,0.5,0.5,18,16,2,0,0,0.0,2.0
1930,Matchday 4,Chile,Mexico,3,0,2,3,1478.8,1480.0,-1.2,60,15,-45,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.5,0.5,9,17,-8,0,1,0.0,3.0
1930,Matchday 5,USA,Paraguay,3,0,2,3,1520.0,1500.0,20.0,13,42,29,1.0,0.5,0.5,3.0,0.0,1.2,1.2,0.5,0.5,11,8,3,1,0,4.0,14.0
1930,Matchday 5,Serbia,Bolivia,4,0,2,4,1520.0,1500.0,20.0,60,60,0,1.0,0.5,0.5,2.0,1.0,1.2,1.2,0.5,0.5,12,3,9,0,0,3.0,14.0
1930,Matchday 6,Uruguay,Peru,1,0,2,1,1520.0,1480.0,40.0,11,40,29,1.0,0.0,1.0,4.0,2.0,1.0,3.0,0.5,0.5,14,5,9,0,0,0.0,4.0
1930,Matchday 7,Argentina,Mexico,6,3,2,9,1522.2,1459.9,62.3,1,15,14,0.8333,0.0,0.8333,2.0,1.667,0.5,3.5,0.5,0.5,18,17,1,0,1,4.0,3.0
1930,Matchday 7,Chile,France,1,0,2,1,1498.9,1498.9,0.0,60,2,-58,0.6667,0.3333,0.3333,2.0,1.5,2.0,1.0,0.5,0.5,9,16,-7,0,0,3.0,4.0
1930,Matchday 8,Paraguay,Belgium,1,0,2,1,1481.2,1480.0,1.2,42,6,-36,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.5,0.5,8,14,-6,0,0,3.0,7.0
1930,Matchday 8,Brazil,Bolivia,4,0,2,4,1480.0,1481.2,-1.2,4,60,56,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.5,0.5,22,3,19,0,0,6.0,3.0
1930,Matchday 9,Uruguay,Romania,4,0,2,4,1537.7,1520.0,17.7,11,60,49,1.0,1.0,0.0,2.5,1.0,3.0,1.0,0.5,0.5,14,7,7,0,0,3.0,7.0
1930,Semi-finals,Uruguay,Serbia,6,1,2,7,1556.7,1538.8,17.8,11,60,49,1.0,1.0,0.0,3.0,0.667,3.0,0.5,0.5,0.5,14,12,2,0,0,6.0,10.0
1930,Semi-finals,Argentina,USA,6,1,2,7,1538.7,1538.8,-0.2,1,13,12,0.9,1.0,-0.1,3.0,2.0,3.0,0.0,0.5,0.5,18,11,7,0,1,7.0,9.0
1934,Final,Italy,Czechia,1,1,1,2,1500.0,1500.0,0.0,10,38,28,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,18,9,9,0,0,14.0,14.0
1934,Preliminary round,Czechia,Romania,2,1,2,3,1500.0,1501.0,-1.0,38,60,22,0.5,0.3333,0.1667,1.0,1.0,1.5,2.5,0.5,0.5,9,7,2,0,0,0.0,1406.0
1934,Preliminary round,Italy,USA,7,1,2,8,1500.0,1518.8,-18.8,10,13,3,0.5,0.5,0.0,1.0,1.0,2.333,2.0,0.5,0.5,18,11,7,0,1,0.0,1401.0
1934,Preliminary round,Switzerland,Netherlands,3,2,2,5,1500.0,1500.0,0.0,17,7,-10,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,12,11,1,0,0,14.0,14.0
1934,Preliminary round,Hungary,Egypt,4,2,2,6,1500.0,1500.0,0.0,60,33,-27,0.5,0.5,0.0,1.2,1.2,1.2,1.2,0.5,0.5,9,3,6,0,0,14.0,14.0
